شەرمین = شرمين | Sharmin
لاوێن = لاوين | Lawen
لانە = لانة | Lana
شەوبۆ = شةوبو | Shawbo
پەیوەند = بيوند | Paywand
هەدیە = هدية | Hdya
نسیم = نسيم | Nsym
سروشت = سروشت | Srwsht
بەهار = بةهار | Bahar
نەوژین = نوجين | Nawzhyn
ژوان = جوان | Zhwan
سایە = ساية | Saya
کرمانج = كرمانج | Krmanj
حەمە = محمد | Hama
ئاسودە = آسودة | Aswda
عەبدولڕەحیم = عبدالرحيم | Abdulrahim
زەینەب = زينب | Zynb
باخان = باخان | Bakhan
شۆخان = شوخان | Shokhan
مارف = مارف | Marf
ڕۆشنا = روشنا | Roshna
شیلان = شيلان | Shylan
سەلاح = صلاح | صlah
سالار = سالار | Salar
سێوە = سيوة | Sewa
فەتاح = فتاح | Ftah
بەفرین = بةفرين | Bafryn
تانیا = تانيا | Tanya
خەتیب = خطيب | Khgyb
سازان = سازان | Sazan
بێریڤان = بيريفان | Beryvan
تەها = طه | Taha
سلێمان = سليمان | Slyman
ئیمان = إيمان | Ayman
سدیق = صديق | صdyq
عەبدولقادر = عبدالقادر | Abdulqadir
دەریا = دةريا | Darya
ڕاز = راز | Raz
عارف = عارف | Aarf
سۆزیار = سوزيار | Sozyar
ناسک = ناسك | Nask
ئیبراهیم = إبراهيم | Ibrahim
کانی = كاني | Kany
هودا = هدى | Hdy
نامیق = نامق | Namq
سوهام = سهام | Sham
نامق = نامق | Namq
ڕوئیا = روئيا | Rwya
ڕەحیم = رحيم | Rhym
تەرزە = تةرزة | Tarza
زەردەشت = زةردةشت | Zardasht
نادر = نادر | Nadr
هۆنیا = هونيا | Honya
نەجیم = نجيم | Njym
پەیمان = بيمان | Payman
ماریا = ماريا | Marya
ڕۆزی = روزي | Rozy
نما = نما | Nma
چیمەن = شيمان | Chyman
جبار = جبار | Jbar
شەناو = شةناو | Shanaw
فەلاح = فلاح | Flah
سەنا = سةنا | Sana
ساوێن = ساوين | Sawen
بەیان = بةيان | Bayan
گۆنا = غونا | Gona
پەروین = بروين | Parwyn
سەعدیە = سعدية | Sadya
فائیق = فائق | Faq
تارا = تارا | Tara
کامەران = كامةران | Kamaran
هێڤین = هيفين | Hevyn
سارە = سارة | Sara
داڤین = دافين | Davyn
حەمزە = حمزة | Hmza
پەیام = بيام | Payam
سارینا = سارينا | Saryna
ستار = ستار | Star
کوردستان = كوردستان | Kwrdstan
عەباس = عباس | Abas
لۆزان = لوزان | Lozan
هەڵکەوت = هةلكةوت | Hallkawt
هەنا = هناء | Hna
دڵخواز = دلخواز | Dllkhwaz
حەمەکریم = حمةكريم | Hmakrym
لەرین = لةرين | Laryn
عەتا = عطاء | Aga
هەورین = هةورين | Hawryn
ئەوین = ئةوين | Awyn
هەورامان = هةورامان | Hawraman
عادل = عادل | Aadl
پەیڤین = بيفين | Payvyn
ئەکرەم = أكرم | Akrm
سازیار = سازيار | Sazyar
بەختیار = بةختيار | Bakhtyar
عەول = عةول | Aawl
هەوری = هةوري | Hawry
لەتیف = لطيف | Lgyf
کاکی = كاكي | Kaky
شاجوان = شاجوان | Shajwan
بەکر = بكر | Bkr
ئیسرا = إسراء | Asra
شانیا = شانيا | Shanya
بێستوون = بيستون | Bestwn
شریف = شريف | Shryf
کیژان = كيجان | Kyzhan
ڕەمەزان = رمضان | Rmchan
لوقمان = لقمان | Luqman
ڕەیان = ريّان | Ryّan
فاخر = فاخر | Fakhr
ئایە = ئاية | Aya
نەخشین = نةخشين | Nakhshyn
جەلال = جلال | Jlal
شەیدا = شةيدا | Shayda
هەرشاد = هةرشاد | Harshad
ئالا = آلاء | Ala
جەلیل = جليل | Jlyl
کەیوان = كةيوان | Kaywan
مەریوان = مةريوان | Marywan
لەنوێ = لةنوي | Lanwe
کامیل = كامل | Kaml
دیە = دية | Dya
باقی = باقي | Baqy
غەریب = غريب | Ghryb
مەعرووف = معروف | Marwf
لاوەند = لاوةند | Lawand
هاوین = هاوين | Hawyn
نمە = نمة | Nma
خۆشی = خوشي | Khoshy
حەمید = حميد | Hmyd
ناریا = ناريا | Narya
هاوار = هاوار | Hawar
سارین = سارين | Saryn
سامان = سامان | Saman
خەنسا = خنساء | Khnsa
غریب = غريب | Ghryb
کەلسووم = كلثوم | Klpwm
سینا = سينا | Syna
سەردار = سةردار | Sardar
موبارەک = مبارك | Mbark
هانی = هاني | Hany
ئەژین = أجين | Azhyn
ڕاستگۆ = راستغو | Rastgo
پەرژین = برجين | Parzhyn
فرحان = فرحان | Frhan
کۆرش = كورش | Korsh
ڕەفعەت = رفعت | Rfat
هۆزیار = هوزيار | Hozyar
سیداد = سيداد | Sydad
مەڕوان = مروان | Mrwan
جەمال = جمال | Jmal
ڕەوا = رةوا | Rawa
شەهرام = شةهرام | Shahram
فریاد = فرياد | Fryad
ئارۆ = ئارو | Aro
ژیار = جيار | Zhyar
گۆران = غوران | Goran
ڕەوەند = رةوةند | Rawand
ئەرکان = أركان | Arkan
پەیوەست = بيوست | Paywast
هەنی = هةني | Hany
شاهید = شاهد | Shahd
یاسین = ياسين | Yasyn
دلێر = دلير | Dler
جوانیتا = جوانيتا | Jwanyta
بەهرە = بةهرة | Bahra
سەرکۆ = سةركو | Sarko
هەنیسک = هةنيسك | Hanysk
زەننار = زةننار | Zannar
سوبحان = سبحان | Sbhan
کاردۆ = كاردو | Kardo
سەرباز = سةرباز | Sarbaz
نوها = نها | Nha
هامنۆ = هامنو | Hamno
یارا = يارا | Yara
فەرحان = فرحان | Frhan
ئاڤا = آفا | Ava
هێرۆ = هيرو | Hero
پەری = بري | Pary
دەشنێ = دةشني | Dashne
سیدرە = سدرة | Sdra
هەنار = هةنار | Hanar
دلین = دلين | Dlyn
سۆزدار = سوزدار | Sozdar
ڕاوێژ = راويج | Rawezh
شاناز = شاناز | Shanaz
خەلیل = خليل | Khlyl
نوور = نور | Nwr
نەوزاد = نةوزاد | Nawzad
مەهیار = مةهيار | Mahyar
ئەڤین = أفين | Avyn
قوباد = قباد | Qwbad
سادق = صادق | صadq
بڕوا = بروا | Brwa
ئەنەس = أنس | Ans
هاوکار = هاوكار | Hawkar
سۆڤانا = سوفانا | Sovana
ئێڤار = إيفار | Evar
سومەییە = سمية | Smya
نەواف = نواف | Nwaf
خەزعەل = خزعل | Khzal
زانا = زانا | Zana
شاڵاو = شالاةو | Shalaaw
ڕەسوول = رسول | Rswl
موبین = مبين | Mbyn
یووسف = يوسف | Ywsf
فێنک = فينك | Fenk
عیززەت = عزت | Azt
لاڤین = لافين | Lavyn
سەعدی = سعدي | Sady
هاشم = هاشم | Hashm
یەحیا = يحيى | Yhyy
نیما = نيما | Nyma
دڵشاد = دلشاد | Dllshad
نەسرین = نةسرين | Nasryn
یونس = يونس | Ywns
هیمەت = همت | Hmt
چیا = شيا | Chya
هادی = هادي | Hady
عیماد = عماد | Amad
ڕۆژشاد = روجساد | Rozhshad
بێساران = بيساران | Besaran
لاوی = لاوي | Lawy
شاکار = شاكار | Shakar
واحید = واحد | Wahd
عەبدولئەمیر = عبدالأمير | Abdulameer
جەوهەر = جوهر | Jwhr
فەوزیە = فوزية | Fwzya
حەمەرشید = حةمةرشيد | Hamarshyd
شنۆ = شنو | Shno
سابیر = صابر | صabr
سەروەر = سةروةر | Sarwar
بانە = بانة | Bana
کەمال = كمال | Kmal
لیا = ليا | Lya
جەعفەر = جعفر | Jafr
تەمەن = تةمةن | Taman
شۆڕش = شورش | Shorsh
تەحسین = تحسين | Thsyn
دیار = ديار | Dyar
شەنگە = شنغة | Shanga
ئەنووشە = ئةنوشة | Anwsha
نەریمان = نةريمان | Naryman
ئانی = ئاني | Any
ئەستێرە = ئةستيرة | Astera
کاکەخان = كاكةخان | Kakakhan
جووتیار = جوتيار | Jwtyar
ئارام = آرام | Aram
ڕێکان = ريكان | Rekan
هەنسک = هةنسك | Hansk
ئاراس = آراس | Aras
نەجم = نجم | Najm
موحسین = محسن | Mhsn
لەیان = لةيان | Layan
ئەبووبەکر = أبو بكر | Abu Bakr
سەربەست = سةربةست | Sarbast
کاردین = كاردين | Kardyn
خێڵان = خيلان | Khellan
کاروان = كاروان | Karwan
شەیما = شيماء | Shyma
ئاشنا = ئاشنا | Ashna
ئەرسەلان = ئةرسةلان | Arsalan
ئاسیا = ئاسيا | Asya
سەرحەد = سةرحةد | Sarhad
هەندرێن = هةندرين | Handren
دینا = دينا | Dyna
دیاری = دياري | Dyary
بارین = بارين | Baryn
ڕەفیق = رفيق | Rfyq
هێما = هيما | Hema
مادیح = مادح | Madh
هانیا = هانيا | Hanya
ژیوار = جيوار | Zhywar
شایستە = شايستة | Shaysta
خلیل = خليل | Khlyl
یاران = ياران | Yaran
دالیا = داليا | Dalya
ئیلهام = إلهام | Alham
ڕاڤیار = رافيار | Ravyar
نەبەئ = نبأ | NbA
عەبدولستار = عبدالستار | Abdulstar
سروە = سروة | Srwa
کۆژیار = كوجيار | Kozhyar
پاشا = باشا | Pasha
مەدینە = مدينة | Mdyna
حیکمەت = حكمت | Hkmt
دانیار = دانيار | Danyar
هەستی = هةستي | Hasty
ژیلا = جيلا | Zhyla
سەرتیپ = سرتيب | Sartyp
فەرید = فريد | Fryd
ئیناس = إيناس | Aynas
مەنسوور = منصور | Mnصwr
حەمەکەریم = محمد كريم | Muhammad Karim
لینا = لينا | Lyna
سەعد = سعد | Sad
وەرزێر = وةرزير | Warzer
عەبدولحامید = عبدالحامد | Abdulhamid
هەناسە = هةناسة | Hanasa
شوانە = شوانة | Shwana
هاوژین = هاوجين | Hawzhyn
مەسعوود = مسعود | Msawd
شەهرۆ = شةهرو | Shahro
نیهایەت = نهايت | Nhayt
دیا = ديا | Dya
هێڤی = هيفي | Hevy
دییە = ديية | Dyya
جەبار = جبار | Jbar
هەنیە = هةنية | Hanya
هێمن = هيمن | Hemn
ڕۆستەم = روستةم | Rostam
پرووشە = بروشة | Prwsha
مەروا = مروا | Mrwa
کاترین = كاترين | Katryn
وێنا = وينا | Wena
مۆردان = موردان | Mordan
مەروە = مروة | Mrwa
زینە = زينة | Zyna
ئایار = ئايار | Ayar
لاڤە = لافة | Lava
هونەر = هونةر | Hwnar
دێکان = ديكان | Dekan
ڕێنوار = رينوار | Renwar
جەمیلە = جميلة | Jmyla
ژیا = جيا | Zhya
فاتیح = فاتح | Fath
بەرشا = بةرشا | Barsha
ئەسما = أسماء | Asma
ڕۆژین = روجين | Rozhyn
بانوو = بانوو | Banww
مەیسەم = مةيسةم | Maysam
هاوڕێ = هاوري | Hawry
دیما = ديما | Dyma
سوندوس = سندس | Snds
نەبەز = نةبةز | Nabaz
دڵنیا = دلنيا | Dllnya
نەوشیروان = نةوشيروان | Nawshyrwan
ئاڵێ = ئالي | Alle
ژیکاڵ = جيكال | Zhykall
سەرناو = سةرناو | Sarnaw
ڕۆژان = روجان | Rozhan
شیفا = شفاء | Shfa
هێلین = هيلين | Helyn
ڤانیا = فانيا | Vanya
ڤارین = فارين | Varyn
ئانا = ئانا | Ana
دانا = دانا | Dana
زیکرا = ذكرى | Zhkry
دروود = درود | Drwd
دیندار = ديندار | Dyndar
سەلمان = سلمان | Slman
ڕوونی = روني | Rwny
نۆفیق = نوفيق | Nwfyq
کاکەبرا = كاكةبرا | Kakabra
مەنسا = مةنسا | Mansa
قاسم = قاسم | Qasm
شیا = شيا | Shya
موعاز = معاذ | Maazh
حەمەعارف = حمةعارف | Hmaaarf
عەبدولکەریم = عبدالكريم | Abdulkarim
دیلان = ديلان | Dylan
دۆستان = دوستان | Dostan
شەم = شةم | Sham
مانی = ماني | Many
شەمێران = شةميران | Shameran
ڕێژەن = ريجن | Rezhan
ئیلیاس = إلياس | Alyas
ئەرخەوان = ئةرخةوان | Arkhawan
موئەیەد = مؤيد | Moyd
ئاران = ئاران | Aran
سورەیا = سورةيا | Swraya
سامی = سامي | Samy
دینە = دينة | Dyna
مەهدی = مهدي | Mhdy
ژیران = جيران | Zhyran
سۆزان = سوزان | Sozan
ڕووخۆش = روخوش | Rwkhosh
بارگە = بارغة | Barga
هەردی = هةردي | Hardy
زریان = زريان | Zryan
گوڵزار = كلزار | Gwllzar
ئارش = ئارش | Arsh
شاگوڵ = شاكول | Shagwll
ساڤۆ = سافو | Savo
نێچیر = نيجير | Nechyr
سەرکان = سةركان | Sarkan
ئاسوودە = آسودة | Aswda
ڕۆبیتەن = روبيتةن | Robytan
ڤیان = فيان | Vyan
نازدار = نازدار | Nazdar
مەیلی = مةيلي | Mayly
شوکریە = شكرية | Shkrya
نەبەرد = نةبةرد | Nabard
زانیار = زانيار | Zanyar
حەمەسعید = حمةسعيد | Hmasayd
لوبنان = لبنان | Lbnan
حارس = حارس | Hars
تارق = طارق | Garq
مەهسا = مهسا | Mhsa
ئاڤان = آفان | Avan
عرووبە = عروبة | Arwba
خەلیفە = خليفة | Khlyfa
زەیدان = زيدان | Zydan
شاکر = شاكر | Shakr
ژینۆ = جينو | Zhyno
ڕەوان = روان | Rwan
غەیدان = غيدان | Ghydan
هاڤین = هافين | Havyn
عائیشە = عائشة | Aasha
لەوەند = لةوةند | Lawand
ڕاما = راما | Rama
چنار = شنار | Chnar
تینا = تينا | Tyna
ئەییووب = أيوب | Aywb
گەڵا = كلا | Galla
توانا = توانا | Twana
ڕێژنە = ريجنة | Rezhna
نەجیب = نجيب | Njyb
نیدا = نداء | Nda
نامی = نامي | Namy
گەشاو = كشاو | Gashaw
روقیە = روقية | Rwqya
تەژنە = تجنة | Tazhna
حەمەیووسف = حمةيوسف | Hmaywsf
مەئوا = مةئوا | Mawa
یاد = ياد | Yad
موختار = مختار | Mkhtar
ئامانج = ئامانج | Amanj
جیلیا = جيليا | Jylya
ڕازان = رازان | Razan
لین = لين | Lyn
ڕۆزە = روزة | Roza
فەرهاد = فةرهاد | Farhad
یەقین = يقين | Yqyn
پەنا = بنا | Pana
ئوسامە = أسامة | Asama
ئانە = ئانة | Ana
ئاکۆ = ئاكو | Ako
ڕەند = رند | Rand
فەهمی = فهمي | Fahmi
عەینەدین = عين الدين | Aynaddin
مووسا = موسى | Musa
زاهید = زاهد | Zahid
ڕێژین = ريجين | Rezhin
نەجمەدین = نجم الدين | Najmaddin
شێنی = شيني | Shene
نورەدین = نور الدين | Nuraddin
حەمەعەزیز = محمد عزيز | Muhammad Aziz
ڕۆزا = روزا | Roza
چاوان = شاوان | Chawan
نەمام = نمام | Namam
زەریا = زريا | Zarya
حەمەغەریب = محمد غريب | Muhammad Gharib
ڕێناس = ريناس | Renas
موحیەدین = محيي الدين | Muhiyaddin
فەرەیدون = فريدون | Faraidun
حەمەفەرەج = محمد فرج | Muhammad Faraj
ساکار = ساكار | Sakar
حەمەغریب = محمد غريب | Muhammad Gharib
ڕاسا = راسا | Rasa
حەمەشریف = محمد شريف | Muhammad Sharif
سپێدە = سبيدة | Speda
جوان = جوان | Jwan
ڕاستی = راستي | Rasti
کوێستان = كويستان | Kwestan
ئەولمحەممەد = أولمحمد | Awlmuhammad
ڕێناز = ريناز | Renaz
دێرین = ديرين | Derin
محێدین = محيي الدين | Muhiyaddin
شێوە = شيوة | Shewa
بەهادین = بهاء الدين | Bahaaddin
داهێن = داهين | Dahen
هەوار = هوار | Hawar
حەمەعەلی = محمد علي | Muhammad Ali
کەویار = كويار | Kawyar
ڕەنا = رنا | Rana
بیلال = بلال | Bilal
سومبول = سنبل | Sumbul
هێرش = هيرش | Hersh
مالیک = مالك | Malik
ستارە = ستارة | Stara
کەرەم‌وەیس = كرم ويس | Karamwais
سەنار = سنار | Sanar
